event_id,ticker,reaction_start,selected_event_time,selected_event_time_source,release_session,first_tradable_timestamp,timestamp_confidence,timestamp_notes,timestamp_ambiguous,model_eligible,original_session_from_sec_acceptance_et,session_from_sec_acceptance_et
IOVA_8-K_2024-03-04_0001104659-24-030249,IOVA,2024-03-04,2024-03-04T13:00:20+00:00,sec_acceptance_time,before_open,2024-03-04T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
IMCR_8-K_2024-05-31_0001140361-24-028366,IMCR,2024-06-03,2024-05-31T20:21:44+00:00,sec_acceptance_time,after_close,2024-06-03T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
RCKT_8-K_2024-06-28_0001140361-24-031749,RCKT,2024-07-01,2024-06-28T20:05:20+00:00,sec_acceptance_time,after_close,2024-07-01T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
EXEL_8-K_2024-08-06_0000939767-24-000116,EXEL,2024-08-07,2024-08-06T20:08:46+00:00,sec_acceptance_time,after_close,2024-08-07T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
NVAX_8-K_2024-10-16_0001104659-24-108950,NVAX,2024-10-16,2024-10-16T12:00:11+00:00,sec_acceptance_time,before_open,2024-10-16T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
NVAX_8-K_2024-11-12_0001104659-24-116593,NVAX,2024-11-13,2024-11-12T16:21:24+00:00,sec_acceptance_time,intraday,2024-11-13T09:30:00-05:00,medium,press_release_time_not_separate_from_sec_exhibit_acceptance;intraday_without_intraday_prices_shifted_to_next_trading_day,False,True,intraday,before_open
ROIV_8-K_2024-12-03_0001140361-24-048238,ROIV,2024-12-03,2024-12-03T12:20:26+00:00,sec_acceptance_time,before_open,2024-12-03T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
DNLI_8-K_2025-01-07_0001714899-25-000007,DNLI,2025-01-07,2025-01-06T23:13:37+00:00,sec_acceptance_time,after_close,2025-01-07T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
NTLA_8-K_2025-01-10_0001193125-25-004080,NTLA,2025-01-10,2025-01-10T12:30:22+00:00,sec_acceptance_time,before_open,2025-01-10T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
DNLI_8-K_2025-03-05_0001714899-25-000072,DNLI,2025-03-06,2025-03-05T22:26:35+00:00,sec_acceptance_time,after_close,2025-03-06T09:30:00-05:00,high,original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
PRTA_8-K_2025-05-23_0001193125-25-125881,PRTA,2025-05-27,2025-05-23T20:33:24+00:00,sec_acceptance_time,after_close,2025-05-27T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
RCKT_8-K_2025-05-27_0001140361-25-020409,RCKT,2025-05-27,2025-05-27T11:40:06+00:00,sec_acceptance_time,before_open,2025-05-27T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
RARE_8-K_2025-07-11_0000950170-25-095334,RARE,2025-07-14,2025-07-11T20:46:13+00:00,sec_acceptance_time,after_close,2025-07-14T09:30:00-04:00,high,none,False,True,after_close,before_open
SRPT_8-K_2025-07-21_0001193125-25-161516,SRPT,2025-07-21,2025-07-21T11:30:13+00:00,sec_acceptance_time,before_open,2025-07-21T09:30:00-04:00,high,none,False,True,before_open,before_open
REPL_8-K_2025-07-22_0001104659-25-069489,REPL,2025-07-22,2025-07-22T12:18:47+00:00,sec_acceptance_time,before_open,2025-07-22T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
PTCT_8-K_2025-08-19_0001558370-25-011658,PTCT,2025-08-19,2025-08-19T12:10:10+00:00,sec_acceptance_time,before_open,2025-08-19T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
ZYME_8-K_2025-09-02_0001193125-25-193351,ZYME,2025-09-02,2025-09-02T10:58:56+00:00,sec_acceptance_time,before_open,2025-09-02T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
REPL_8-K_2025-10-20_0001104659-25-100605,REPL,2025-10-20,2025-10-20T11:20:45+00:00,sec_acceptance_time,before_open,2025-10-20T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
NTLA_8-K_2025-10-29_0001193125-25-256378,NTLA,2025-10-30,2025-10-29T20:22:38+00:00,sec_acceptance_time,after_close,2025-10-30T09:30:00-04:00,high,none,False,True,after_close,before_open
INSM_8-K_2025-12-17_0001140361-25-045836,INSM,2025-12-18,2025-12-17T21:02:43+00:00,sec_acceptance_time,after_close,2025-12-18T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
BMRN_8-K_2025-12-22_0001193125-25-327828,BMRN,2025-12-22,2025-12-22T14:00:13+00:00,sec_acceptance_time,before_open,2025-12-22T09:30:00-05:00,high,none,False,True,before_open,before_open
NTLA_8-K_2026-01-27_0001193125-26-023387,NTLA,2026-01-27,2026-01-27T13:19:16+00:00,sec_acceptance_time,before_open,2026-01-27T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
RGNX_8-K_2026-01-28_0001193125-26-026139,RGNX,2026-01-28,2026-01-28T13:30:24+00:00,sec_acceptance_time,before_open,2026-01-28T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
RGNX_8-K_2026-02-10_0001193125-26-043342,RGNX,2026-02-10,2026-02-10T02:44:44+00:00,sec_acceptance_time,after_close,2026-02-10T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
MGNX_8-K_2026-02-24_0001125345-26-000009,MGNX,2026-02-24,2026-02-23T23:41:38+00:00,sec_acceptance_time,after_close,2026-02-24T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
NTLA_8-K_2026-03-02_0001193125-26-084309,NTLA,2026-03-02,2026-03-02T13:16:28+00:00,sec_acceptance_time,before_open,2026-03-02T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
INCY_8-K_2026-03-06_0000879169-26-000013,INCY,2026-03-09,2026-03-06T22:03:47+00:00,sec_acceptance_time,after_close,2026-03-09T09:30:00-04:00,high,none,False,True,after_close,before_open
INSM_8-K_2026-04-07_0001140361-26-013659,INSM,2026-04-08,2026-04-07T20:01:21+00:00,sec_acceptance_time,after_close,2026-04-08T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
REPL_8-K_2026-04-13_0001104659-26-042141,REPL,2026-04-13,2026-04-10T21:59:21+00:00,sec_acceptance_time,after_close,2026-04-13T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
MIRM_8-K_2026-05-04_0001193125-26-202609,MIRM,2026-05-04,2026-05-04T12:00:06+00:00,sec_acceptance_time,before_open,2026-05-04T09:30:00-04:00,high,none,False,True,before_open,before_open
ZYME_8-K_2026-05-14_0001193125-26-224161,ZYME,2026-05-15,2026-05-14T20:29:55+00:00,sec_acceptance_time,after_close,2026-05-15T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
