row_number,event_id,ticker,reaction_start,event_time,event_type,event_subtype,event_family,y_true,actual_positive,predicted_positive_probability,predicted_positive,baseline_positive_probability,model_status,purge_days,train_rows_after_purge,car_market_model_h1,car_market_model_simple_h1,raw_return_h1,position,gross_event_return,trade_cost,net_event_return
90,government_contract_LMT_FA868223CB001,LMT,2025-06-27,2025-06-26 21:00:19,new_contract_award,new_contract_award,government_contract_awards,1,1,0.923854896284228,1.0,0.5393258426966292,ok,10,89,0.0007115661476843,0.0007118193709336,0.0015069308209887,1,0.0007118193709336751,0.001,-0.00028818062906632493
94,government_contract_BA_FA880725CB006,BA,2025-07-07,2025-07-03 21:00:19,new_contract_award,new_contract_award,government_contract_awards,1,1,0.7893750529916069,1.0,0.5393258426966292,ok,10,89,0.0211358692956444,0.0213608137849252,0.0125509759950384,1,0.02136081378492527,0.001,0.02036081378492527
97,government_contract_CACI_FA882124FB001,CACI,2025-07-28,2025-07-25 21:00:00,task_order_award,task_order_award,government_contract_awards,0,0,0.6419310429247873,1.0,0.5578947368421052,ok,10,95,-0.036217934474145,-0.0355699119856351,-0.0343649485093385,1,-0.035569911985635194,0.001,-0.036569911985635195
99,government_contract_LMT_N0001925F0090,LMT,2025-08-01,2025-07-31 21:00:15,task_order_award,task_order_award,government_contract_awards,1,1,0.7954190833658231,1.0,0.5520833333333334,ok,10,96,0.0044940756698121,0.0045041891724817,7.130010339251314e-05,1,0.004504189172481521,0.001,0.003504189172481521
100,government_contract_RTX_FA865925CB003,RTX,2025-08-01,2025-07-31 21:00:15,new_contract_award,new_contract_award,government_contract_awards,1,1,0.6955261221790265,1.0,0.5520833333333334,ok,10,96,0.0029308462594926,0.0029351453883936,-0.004823448009757,1,0.0029351453883936784,0.001,0.0019351453883936784
103,government_contract_LMT_W31P4Q23C0005,LMT,2025-08-14,2025-08-13 21:00:11,new_contract_award,new_contract_award,government_contract_awards,0,0,0.7967938671278761,1.0,0.5544554455445545,ok,10,101,-0.0118392913664392,-0.0117694827229568,-0.0118625625347024,1,-0.011769482722956859,0.001,-0.01276948272295686
114,government_contract_LMT_N0003025C0100,LMT,2025-09-15,2025-09-12 21:01:24,new_contract_award,new_contract_award,government_contract_awards,1,1,0.8273150047965088,1.0,0.5412844036697247,ok,10,109,0.0029209147510192,0.0029251847789608,0.0041161761196066,1,0.0029251847789608654,0.001,0.0019251847789608654
118,government_contract_LMT_FA821924C0001,LMT,2025-11-14,2025-11-13 21:59:39,new_contract_award,new_contract_award,government_contract_awards,1,1,0.9029106332447703,1.0,0.5431034482758621,ok,10,116,0.0216068817896653,0.0218420008027739,0.0217614798270104,1,0.021842000802773986,0.001,0.020842000802773986
122,government_contract_BA_W58RGZ26C0002,BA,2025-11-26,2025-11-25 22:00:04,new_contract_award,new_contract_award,government_contract_awards,1,1,0.6458807342082794,1.0,0.5378151260504201,ok,10,119,0.0187983530731587,0.0189761544893973,0.0245559946699622,1,0.01897615448939738,0.001,0.017976154489397378
124,government_contract_NOC_N0001923F0041,NOC,2025-12-05,2025-12-04 22:00:32,task_order_award,task_order_award,government_contract_awards,0,0,0.6285797061694138,1.0,0.5245901639344263,ok,10,122,-0.008419412422365,-0.0083840684310317,-0.0072875534826947,1,-0.008384068431031677,0.001,-0.009384068431031678
125,government_contract_HII_N0002424C2312,HII,2025-12-08,2025-12-05 22:00:25,new_contract_award,new_contract_award,government_contract_awards,1,1,0.6057353368622485,1.0,0.5284552845528455,ok,10,123,0.0358268263703455,0.0364763405785781,0.0371002756250209,1,0.03647634057857818,0.001,0.03547634057857818
126,government_contract_LMT_W58RGZ21C0016,LMT,2025-12-10,2025-12-09 21:59:54,new_contract_award,new_contract_award,government_contract_awards,1,1,0.6995716738115673,1.0,0.5284552845528455,ok,10,123,0.0027893030862466,0.0027931968115184,0.0022489221587498,1,0.0027931968115184613,0.001,0.0017931968115184613
127,government_contract_LMT_N0002423C5101,LMT,2025-12-12,2025-12-11 22:00:00,new_contract_award,new_contract_award,government_contract_awards,1,1,0.7781632421776667,1.0,0.5284552845528455,ok,10,123,0.011754779192486,0.0118241381092474,0.0113080767916355,1,0.011824138109247428,0.001,0.010824138109247428
128,government_contract_GD_HQ085022C0007,GD,2025-12-15,2025-12-12 22:00:00,new_contract_award,new_contract_award,government_contract_awards,1,1,0.9111046077889823,1.0,0.5241935483870968,ok,10,124,0.0094758156136194,0.0095208532982524,0.0094817475356561,1,0.009520853298252474,0.001,0.008520853298252473
132,government_contract_LMT_N0001923F0002,LMT,2025-12-19,2025-12-18 22:02:23,contract_modification,contract_modification,government_contract_awards,1,1,0.8812665456711567,1.0,0.5238095238095238,ok,10,126,0.0076800698697213,0.0077096372510392,0.0084868406628113,1,0.007709637251039236,0.001,0.006709637251039236
138,government_contract_BA_FA863426CB001,BA,2025-12-30,2025-12-29 22:00:09,new_contract_award,new_contract_award,government_contract_awards,1,1,0.7486213599742647,1.0,0.5481481481481482,ok,10,135,0.0076595717684902,0.0076889813285876,0.005753739930955,1,0.007688981328587419,0.001,0.006688981328587419
140,government_contract_BA_W58RGZ26C0003,BA,2026-01-20,2026-01-16 22:00:20,new_contract_award,new_contract_award,government_contract_awards,1,1,0.6100171798712282,1.0,0.5571428571428572,ok,10,140,0.027151348092272,0.0275233046876621,0.0053294870932376,1,0.027523304687662176,0.001,0.026523304687662175
145,government_contract_LMT_FA873021C0022,LMT,2026-02-02,2026-01-30 22:00:42,new_contract_award,new_contract_award,government_contract_awards,0,0,0.9185239888705736,1.0,0.5524475524475524,ok,10,143,-0.0012687884075438,-0.0012679838358453,0.00280663294502,1,-0.0012679838358452544,0.001,-0.0022679838358452544
146,government_contract_AVAV_N6833526F0005,AVAV,2026-02-05,2026-02-04 22:00:50,sbir_award,sbir_award,government_contract_awards,0,0,0.8532716725322136,1.0,0.5524475524475524,ok,10,143,-0.0534075607573298,-0.0520064312388285,-0.0793625490825393,1,-0.05200643123882853,0.001,-0.05300643123882853
147,government_contract_GD_N0002421C6425,GD,2026-02-06,2026-02-05 22:00:45,new_contract_award,new_contract_award,government_contract_awards,1,1,0.7036061160228544,1.0,0.5524475524475524,ok,10,143,0.0071723490945416,0.0071981319947687,0.0227809149778999,1,0.007198131994768486,0.001,0.006198131994768486
152,government_contract_NOC_N0001925C0130,NOC,2026-03-03,2026-03-02 22:00:39,new_contract_award,new_contract_award,government_contract_awards,0,0,0.7031630923933307,1.0,0.5333333333333333,ok,10,150,-0.0114965724541157,-0.0114307393913933,-0.0116013045924578,1,-0.011430739391393274,0.001,-0.012430739391393275
154,government_contract_LMT_N0001922C0041,LMT,2026-03-06,2026-03-05 22:01:49,new_contract_award,new_contract_award,government_contract_awards,1,1,0.7081446843124113,1.0,0.5333333333333333,ok,10,150,0.0257441911979603,0.0260784350029885,0.0256030832538167,1,0.026078435002988565,0.001,0.025078435002988564
155,government_contract_LMT_N0001925C0070,LMT,2026-03-10,2026-03-09 21:00:29,new_contract_award,new_contract_award,government_contract_awards,0,0,0.6026891586684447,1.0,0.5364238410596026,ok,10,151,-0.0224988821521135,-0.0222476698288986,-0.0194685737192359,1,-0.022247669828898697,0.001,-0.023247669828898698
161,government_contract_LMT_FA868224CB001,LMT,2026-03-20,2026-03-19 21:00:09,new_contract_award,new_contract_award,government_contract_awards,0,0,0.7016332057756288,1.0,0.5419354838709678,ok,10,155,-0.0162340934487809,-0.0161030307402481,-0.0158115432470614,1,-0.016103030740248103,0.001,-0.017103030740248104
163,government_contract_NOC_N0001922C0042,NOC,2026-03-30,2026-03-27 21:00:00,option_exercise,option_exercise,government_contract_awards,0,0,0.7522307010649579,1.0,0.546583850931677,ok,10,161,-0.0119987021076284,-0.0119270047264986,-0.0109130679595452,1,-0.011927004726498547,0.001,-0.012927004726498548
165,government_contract_LMT_N0003022C1025,LMT,2026-04-01,2026-03-31 21:01:08,new_contract_award,new_contract_award,government_contract_awards,1,1,0.6567924060111886,1.0,0.5398773006134969,ok,10,163,0.0187995124911589,0.0189773359093774,0.0219229300267431,1,0.018977335909377446,0.001,0.017977335909377445
166,government_contract_HII_N0002421C4205,HII,2026-04-06,2026-04-03 21:00:05,new_contract_award,new_contract_award,government_contract_awards,1,1,0.7432786980396562,1.0,0.5398773006134969,ok,10,163,0.0195365790162522,0.0197286668499332,0.0278352293904393,1,0.01972866684993324,0.001,0.01872866684993324
168,government_contract_BA_SPRPA124F0051,BA,2026-04-15,2026-04-14 21:00:09,task_order_award,task_order_award,government_contract_awards,0,0,0.730734248726223,1.0,0.5421686746987951,ok,10,166,-0.0071424785162867,-0.0071170316372477,0.0007149680487361,1,-0.007117031637247639,0.001,-0.00811703163724764
169,government_contract_LMT_FA882321C0001,LMT,2026-04-15,2026-04-14 21:00:09,new_contract_award,new_contract_award,government_contract_awards,0,0,0.9309791401214662,1.0,0.5421686746987951,ok,10,166,-0.0044973124836412,-0.0044872147171288,-0.0007849201911312,1,-0.004487214717128762,0.001,-0.005487214717128762
171,government_contract_LMT_N0003024C0100,LMT,2026-04-16,2026-04-15 21:00:29,new_contract_award,new_contract_award,government_contract_awards,0,0,0.7881501600081957,1.0,0.5421686746987951,ok,10,166,-0.0083151431510633,-0.0082806679697841,-0.0059073563995828,1,-0.008280667969784106,0.001,-0.009280667969784107
174,government_contract_GD_N0002424C4212,GD,2026-04-23,2026-04-22 21:00:08,new_contract_award,new_contract_award,government_contract_awards,0,0,0.7467467747648009,1.0,0.5476190476190477,ok,10,168,-0.0040609393459342,-0.0040527048820724,-0.006329110310858,1,-0.004052704882072433,0.001,-0.005052704882072433
175,government_contract_NOC_FA869024CB001,NOC,2026-04-23,2026-04-22 21:00:08,new_contract_award,new_contract_award,government_contract_awards,0,0,0.6927026968592324,1.0,0.5476190476190477,ok,10,168,-0.0039971076638691,-0.0039891298619482,-0.0033242121856241,1,-0.003989129861948215,0.001,-0.004989129861948215
180,government_contract_LHX_N0003022C2001,LHX,2026-05-04,2026-05-01 21:00:14,new_contract_award,new_contract_award,government_contract_awards,0,0,0.6373383543106818,1.0,0.5227272727272727,ok,10,176,-0.0135802326941648,-0.0134884373380775,-0.0151578009190819,1,-0.013488437338077475,0.001,-0.014488437338077476
