event_id,ticker,dataset_split,biotech_catalyst_event_type,event_time_original,original_reaction_window_start,sec_acceptance_time,press_release_time,source_publication_time,selected_event_time,selected_event_time_source,release_session,first_tradable_timestamp,reaction_window_start,timestamp_confidence,timestamp_notes,original_reaction_window_before_first_tradable,timestamp_ambiguous,model_eligible,model_exclusion_reason,source_doc_count,source_types,source_url_count,source_hash_count
SGMO_8-K_2021-12-13_0001628280-21-024895,SGMO,fresh,safety_signal,2021-12-13 14:01:48,2021-12-13,2021-12-13T14:01:48+00:00,,2021-12-13T14:01:48+00:00,2021-12-13T14:01:48+00:00,sec_acceptance_time,before_open,2021-12-13T09:30:00-05:00,2021-12-13,high,none,False,False,True,,1,sec_primary_filing,1,1
BBIO_8-K_2021-12-27_0001193125-21-366669,BBIO,fresh,phase_3_readout,2021-12-27 12:06:03,2021-12-27,2021-12-27T12:06:03+00:00,2021-12-27T12:06:03+00:00,2021-12-27T12:06:03+00:00,2021-12-27T12:06:03+00:00,sec_acceptance_time,before_open,2021-12-27T09:30:00-05:00,2021-12-27,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
BEAM_8-K_2022-08-01_0000950170-22-013559,BEAM,original,trial_halt,2022-08-01 10:50:30,2022-08-01,2022-08-01T10:50:30+00:00,2022-08-01T10:50:30+00:00,2022-08-01T10:50:30+00:00,2022-08-01T10:50:30+00:00,sec_acceptance_time,before_open,2022-08-01T09:30:00-04:00,2022-08-01,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
BEAM_8-K_2022-08-30_0000950170-22-017868,BEAM,original,trial_halt,2022-08-30 11:08:34,2022-08-30,2022-08-30T11:08:34+00:00,,2022-08-30T11:08:34+00:00,2022-08-30T11:08:34+00:00,sec_acceptance_time,before_open,2022-08-30T09:30:00-04:00,2022-08-30,high,none,False,False,True,,1,sec_primary_filing,1,1
SMMT_8-K_2022-10-04_0001599298-22-000111,SMMT,fresh,trial_discontinuation,2022-10-04 12:02:29,2022-10-04,2022-10-04T12:02:29+00:00,,2022-10-04T12:02:29+00:00,2022-10-04T12:02:29+00:00,sec_acceptance_time,before_open,2022-10-04T09:30:00-04:00,2022-10-04,high,none,False,False,True,,1,sec_primary_filing,1,1
EDIT_8-K_2022-11-17_0001558370-22-018016,EDIT,original,safety_signal,2022-11-17 12:30:21,2022-11-17,2022-11-17T12:30:21+00:00,2022-11-17T12:30:21+00:00,2022-11-17T12:30:21+00:00,2022-11-17T12:30:21+00:00,sec_acceptance_time,before_open,2022-11-17T09:30:00-05:00,2022-11-17,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
MIRM_8-K_2022-11-29_0001193125-22-293893,MIRM,fresh,trial_discontinuation,2022-11-29 13:01:03,2022-11-29,2022-11-29T13:01:03+00:00,,2022-11-29T13:01:03+00:00,2022-11-29T13:01:03+00:00,sec_acceptance_time,before_open,2022-11-29T09:30:00-05:00,2022-11-29,high,none,False,False,True,,1,sec_primary_filing,1,1
EDIT_8-K_2022-12-06_0001558370-22-018383,EDIT,original,safety_signal,2022-12-06 11:41:38,2022-12-06,2022-12-06T11:41:38+00:00,2022-12-06T11:41:38+00:00,2022-12-06T11:41:38+00:00,2022-12-06T11:41:38+00:00,sec_acceptance_time,before_open,2022-12-06T09:30:00-05:00,2022-12-06,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
SGMO_8-K_2022-12-12_0001628280-22-031695,SGMO,fresh,safety_signal,2022-12-10 00:01:05,2022-12-12,2022-12-10T00:01:05+00:00,,2022-12-10T00:01:05+00:00,2022-12-10T00:01:05+00:00,sec_acceptance_time,after_close,2022-12-12T09:30:00-05:00,2022-12-12,high,none,False,False,True,,1,sec_primary_filing,1,1
PTCT_8-K_2023-05-23_0001104659-23-063688,PTCT,fresh,phase_3_readout,2023-05-23 21:17:08,2023-05-23,2023-05-23T21:17:08+00:00,2023-05-23T21:17:08+00:00,2023-05-23T21:17:08+00:00,2023-05-23T21:17:08+00:00,sec_acceptance_time,after_close,2023-05-24T09:30:00-04:00,2023-05-24,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,True,False,True,,4,sec_exhibit;sec_primary_filing,4,4
EDIT_8-K_2023-06-09_0001558370-23-010931,EDIT,original,safety_signal,2023-06-09 10:01:06,2023-06-09,2023-06-09T10:01:06+00:00,2023-06-09T10:01:06+00:00,2023-06-09T10:01:06+00:00,2023-06-09T10:01:06+00:00,sec_acceptance_time,before_open,2023-06-09T09:30:00-04:00,2023-06-09,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
ALNY_8-K_2023-10-10_0001193125-23-253084,ALNY,original,fda_complete_response_letter,2023-10-10 11:30:29,2023-10-10,2023-10-10T11:30:29+00:00,2023-10-10T11:30:29+00:00,2023-10-10T11:30:29+00:00,2023-10-10T11:30:29+00:00,sec_acceptance_time,before_open,2023-10-10T09:30:00-04:00,2023-10-10,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
