dataset_split,group_name,group_value,horizon,n,expected_direction,mean_car_sector_adj,median_car_sector_adj,winsorized_mean_car_sector_adj_5_95,negative_rate,positive_rate,sign_accuracy,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
original,market_cap_bucket,micro_lt_300m,1,1,negative,-0.9931923009216072,-0.9931923009216072,-0.9931923009216072,1.0,0.0,1.0,-0.62960760227512,-0.62960760227512,0.9931923009216072
original,negative_catalyst_family,trial_halt_or_discontinuation,1,23,negative,-0.10766720275581243,-0.0542539706942601,-0.0811727771454399,0.7391304347826086,0.2608695652173913,0.7391304347826086,-0.08198634007915659,-0.052808482935427836,0.15465670008163282
original,negative_catalyst_family,complete_response_letter,1,6,negative,-0.08642799427261778,-0.03429851819987685,-0.080962867683169,1.0,0.0,1.0,-0.07816818365069916,-0.033663698957141275,0.08642799427261778
original,negative_catalyst_family,major_safety_signal,1,5,negative,-0.04713259898069751,0.0053844720175842,-0.04409043647881198,0.4,0.6,0.4,-0.04259346819587291,0.00539899434035207,0.06834579698587577
original,trial_phase,phase_3,1,11,negative,-0.05671172019108828,-0.0508413293105955,-0.05148996718474968,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.04589908789094317,-0.04957053613286844,0.11515675632198326
original,trial_phase,phase_1_2,1,7,negative,-0.09528116523768045,-0.0949955922957349,-0.09486348066698289,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.08782511339695065,-0.0906230572759732,0.10039069727378107
original,trial_phase,unknown,1,7,negative,-0.07818990331263843,-0.0473222161969734,-0.0728209077369127,0.8571428571428571,0.14285714285714285,0.8571428571428571,-0.07028921654601916,-0.04621997529953947,0.08678480308234124
original,trial_phase,phase_1,1,4,negative,-0.09725642624292528,-0.06767145105871279,-0.09281867996529342,0.75,0.25,0.75,-0.08638486040426951,-0.06522592418565942,0.11483124268622198
original,trial_phase,phase_2,1,3,negative,-0.2681143098628516,0.0179846584368181,-0.2395044130328847,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.14171000099835482,0.018147356297980588,0.39401389075155313
original,trial_phase,phase_2_3,1,2,negative,-0.09954079370421044,-0.09954079370421044,-0.09954079370421046,1.0,0.0,1.0,-0.09265127184542754,-0.09265127184542754,0.09954079370421044
combined,all,all,3,61,negative,-0.13356779501094584,-0.0752032415594843,-0.12870831929853893,0.7049180327868853,0.29508196721311475,0.7049180327868853,-0.09057611839733724,-0.0724450505444969,0.18776680388495182
combined,biotech_catalyst_event_type,trial_halt,3,15,negative,-0.09044976922092049,-0.0350018829563419,-0.06031734102909579,0.6,0.4,0.6,-0.06627373619163866,-0.03439640193356408,0.1266905877912929
combined,biotech_catalyst_event_type,safety_signal,3,14,negative,-0.07482760935056829,-0.0876584421099834,-0.07236250721596804,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.061876106812795026,-0.0838552273987086,0.13908696991490738
combined,biotech_catalyst_event_type,fda_complete_response_letter,3,11,negative,-0.22009038523701518,-0.0521697969217043,-0.23517988836999162,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.09488515309445561,-0.05083231259211218,0.34068015628054193
combined,biotech_catalyst_event_type,trial_discontinuation,3,11,negative,-0.11666461473766426,-0.129703684236894,-0.11823304338080781,0.8181818181818182,0.18181818181818182,0.8181818181818182,-0.1007758303548807,-0.12164433700821731,0.15450146020919467
combined,biotech_catalyst_event_type,phase_3_readout,3,7,negative,-0.20434939236557467,-0.0899690519304231,-0.17269967232533442,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.14499290094174425,-0.08604052988518318,0.22152131139306114
combined,biotech_catalyst_event_type,phase_2_readout,3,2,negative,-0.054410219536816344,-0.054410219536816344,-0.05441021953681635,1.0,0.0,1.0,-0.05212212579335296,-0.05212212579335296,0.054410219536816344
combined,biotech_catalyst_event_type,endpoint_failure,3,1,negative,-0.4997312410918033,-0.4997312410918033,-0.4997312410918033,1.0,0.0,1.0,-0.3933063078622474,-0.3933063078622474,0.4997312410918033
