group_name,group_value,horizon,n,positive_rate,negative_rate,mean_car_market_model,median_car_market_model,std_car_market_model,stderr_car_market_model,mean_simple_market_model,median_simple_market_model,mean_abs_car_market_model
government_contract_event_type,new_contract_award,10,115,0.46956521739130436,0.5304347826086957,-0.002449750188769215,-0.004183331933517455,0.07091039196090757,0.00661242814577516,9.121824072437875e-05,-0.004174593989304642,0.04932475385623665
government_contract_event_type,task_order_award,10,53,0.4716981132075472,0.5283018867924528,0.005035897058535712,-0.0027839424839536733,0.072405299286774,0.009945632742904888,0.007653926571471377,-0.0027800709096567067,0.05005557014532028
government_contract_event_type,contract_modification,10,9,0.6666666666666666,0.3333333333333333,0.009859184759527965,0.006412187516044186,0.059761948909349244,0.01992064963644975,0.011488939564047309,0.006432789601686695,0.03949485754615851
government_contract_event_type,sbir_award,10,2,0.5,0.5,-0.08142488513936574,-0.08142488513936574,0.25992228133098705,0.18379280771061848,-0.06258503451660952,-0.06258503451660952,0.1837928077106185
government_contract_event_type,contract_extension,10,1,1.0,0.0,0.08299955534986166,0.08299955534986166,,,0.08654132541737991,0.08654132541737991,0.08299955534986166
government_contract_event_type,subcontract_award,10,1,0.0,1.0,-0.008910262173078852,-0.008910262173078852,,,-0.008870683426651316,-0.008870683426651316,0.008910262173078852
government_contract_event_type,option_exercise,10,1,0.0,1.0,-0.023496654943434156,-0.023496654943434156,,,-0.02322275796149409,-0.02322275796149409,0.023496654943434156
large_prime_flag,true,10,155,0.4645161290322581,0.535483870967742,-0.003987786595597812,-0.0044721030827051915,0.060108397276207565,0.0048280226521600226,-0.0022010572178179652,-0.004462118119853864,0.04296039100732739
large_prime_flag,false,10,27,0.5555555555555556,0.4444444444444444,0.02147273057414676,0.02216152524058723,0.12315372006189315,0.023700944476479274,0.029258901696500465,0.022408915979758026,0.09277322632727712
large_prime_low_materiality_flag,true,10,111,0.4864864864864865,0.5135135135135135,-9.365956649451198e-05,-0.0031204329865490623,0.05189177466478908,0.004925349283687151,0.001232836446291085,-0.003115569495585002,0.03810772942798303
large_prime_low_materiality_flag,false,10,71,0.4647887323943662,0.5352112676056338,-0.0003936195061240441,-0.0033596666491203906,0.09779290239201324,0.01160588228603831,0.004394107485991794,-0.0033540292841133246,0.06948985564036776
modification_flag,false,10,173,0.4682080924855491,0.5317919075144508,-0.0007345425413378604,-0.004183331933517455,0.07377356498506119,0.0056089002820017735,0.0019966822021231325,-0.004174593989304642,0.05091493641073294
modification_flag,true,10,9,0.6666666666666666,0.3333333333333333,0.009859184759527965,0.006412187516044186,0.059761948909349244,0.01992064963644975,0.011488939564047309,0.006432789601686695,0.03949485754615851
new_work_flag,true,10,170,0.47058823529411764,0.5294117647058824,-0.0010451088110870483,-0.003771499291318923,0.07412223780309303,0.0056849161289991386,0.0017116360996356906,-0.0037643116367089835,0.05113457368582603
new_work_flag,false,10,12,0.5833333333333334,0.4166666666666667,0.011610441755758363,0.005030698282361882,0.056688574668401465,0.016364581922388894,0.013154028342138357,0.005044332560177223,0.03923834919848344
obligated_materiality_bucket,lt_0_5pct,10,95,0.45263157894736844,0.5473684210526316,-0.004488677474464139,-0.0052438061018324844,0.06086424986758718,0.006244540278004616,-0.002684056321289696,-0.005230081351072502,0.04242927324310879
obligated_materiality_bucket,1pct_to_2pct,10,31,0.4838709677419355,0.5161290322580645,-0.012902723567874008,-0.0012629754795671425,0.07158815538819167,0.01285761227003586,-0.010431230749554177,-0.001262178261693725,0.051242004262317765
obligated_materiality_bucket,0_5pct_to_1pct,10,27,0.5925925925925926,0.4074074074074074,0.006618727218440264,0.006717249127727577,0.05730327369447774,0.011028020164317842,0.008221553077251212,0.00673986044591568,0.04369085838217281
obligated_materiality_bucket,2pct_to_5pct,10,16,0.25,0.75,-0.012225171492235386,-0.03900660594310025,0.12341495390794716,0.03085373847698679,-0.004607331459068276,-0.038252068692819496,0.08708107069300325
obligated_materiality_bucket,gte_5pct,10,13,0.6923076923076923,0.3076923076923077,0.06192020791079758,0.034551548196635,0.08629182668356193,0.023933046597002634,0.06760887315859523,0.03515538739427915,0.07473110148756337
option_exercise_flag,false,10,181,0.48066298342541436,0.5193370165745856,-8.202509321692864e-05,-0.0031204329865490623,0.07322353436350831,0.005442662445992396,0.0026080068232332706,-0.003115569495585002,0.05049856940347399
option_exercise_flag,true,10,1,0.0,1.0,-0.023496654943434156,-0.023496654943434156,,,-0.02322275796149409,-0.02322275796149409,0.023496654943434156
small_mid_cap_flag,false,10,145,0.46206896551724136,0.5379310344827586,-0.00393226341411659,-0.0052438061018324844,0.05936027226187241,0.004929602294235845,-0.0021989657942189746,-0.005230081351072502,0.043064141666787875
small_mid_cap_flag,true,10,37,0.5405405405405406,0.4594594594594595,0.014373918871113719,0.010124345164611607,0.11160019252021743,0.018346958633406654,0.020748013978526464,0.010175769747340135,0.07890370744021581
