dataset_split,group_name,group_value,horizon,n,expected_direction,mean_car_sector_adj,median_car_sector_adj,winsorized_mean_car_sector_adj_5_95,negative_rate,positive_rate,sign_accuracy,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
combined,biotech_catalyst_event_type,phase_2_readout,3,2,negative,-0.05441021953681639,-0.05441021953681639,-0.05441021953681639,1.0,0.0,1.0,-0.05212212579335296,-0.05212212579335296,0.05441021953681639
combined,biotech_catalyst_event_type,endpoint_failure,3,1,negative,-0.4997312410918033,-0.4997312410918033,-0.4997312410918033,1.0,0.0,1.0,-0.3933063078622474,-0.3933063078622474,0.4997312410918033
combined,market_cap_bucket,small_300m_2b,3,33,negative,-0.12647389321216804,-0.0900462669534207,-0.12364355368289451,0.696969696969697,0.30303030303030304,0.696969696969697,-0.08649540496865694,-0.08611109856217092,0.20306947069038864
combined,market_cap_bucket,mid_2b_10b,3,18,negative,-0.04324093297237372,-0.013522977363105142,-0.04488229318656758,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.03722469784891293,-0.013431371106303491,0.07924020870212115
combined,market_cap_bucket,large_gt_10b,3,5,negative,-0.05453501155317264,-0.04261091240518775,-0.052432228358704244,0.8,0.2,0.8,-0.05130389785545442,-0.04171582597606127,0.06402581904126009
combined,market_cap_bucket,micro_lt_300m,3,5,negative,-0.49422039795255496,-0.16223648285860784,-0.4841002577193801,0.8,0.2,0.8,-0.29913362731217813,-0.14975988644867144,0.541413645396448
combined,negative_catalyst_family,trial_halt_or_discontinuation,3,26,negative,-0.10061953376868024,-0.05536243143990807,-0.08061941572996435,0.6923076923076923,0.3076923076923077,0.6923076923076923,-0.07984660864343932,-0.05385740631189184,0.13937785775434477
combined,negative_catalyst_family,major_safety_signal,3,14,negative,-0.08254349334571394,-0.09364717723195398,-0.08007839121111367,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.0685609955326173,-0.0892411241511274,0.14680285391005302
combined,negative_catalyst_family,complete_response_letter,3,11,negative,-0.1883485754400325,-0.052169796921704356,-0.18756717367451756,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.08271098566283663,-0.05083231259211218,0.3089383464835592
combined,negative_catalyst_family,endpoint_failure_or_trial_failure,3,10,negative,-0.18522012023668716,-0.040367903252478465,-0.16343818588878845,0.7,0.3,0.7,-0.13308939466070072,-0.03918931860229796,0.20774275439366888
