event_id,ticker,event_time,source_doc_ids,usable_fact_count,source_type,source_url,source_evidence_text,biotech_catalyst_event_type,event_type,drug_asset,indication,trial_phase,nct_id,trial_name,primary_endpoint,endpoint_met,p_value,hazard_ratio,response_rate,overall_survival,progression_free_survival,safety_issue,adverse_event_language,fda_action,approval_status,complete_response_letter_flag,advisory_committee_vote_for,advisory_committee_vote_against,pdufa_date,accelerated_approval_flag,label_expansion_flag,affected_pipeline_asset_count,company_pipeline_concentration_notes,binary_catalyst_flag,clinical_trial_readout_flag,regulatory_decision_flag,designation_only_flag,safety_negative_flag,approval_or_label_expansion_flag,trial_failure_flag,trial_success_flag,pipeline_concentration_required_flag,event_direction_pre_price,materiality_pre_price,label_quality,evidence_status,parser_quality_flags,parser_quality_flags_confidence,parser_quality_flags_evidence,materiality,trial_phase_confidence,trial_phase_evidence,indication_confidence,indication_evidence,drug_asset_confidence,drug_asset_evidence,trial_name_confidence,trial_name_evidence,adverse_event_language_confidence,adverse_event_language_evidence,safety_issue_confidence,safety_issue_evidence,approval_status_confidence,approval_status_evidence,fda_action_confidence,fda_action_evidence,event_type_confidence,event_type_evidence,source_evidence_text_confidence,source_evidence_text_evidence,pdufa_date_confidence,pdufa_date_evidence,endpoint_met_confidence,endpoint_met_evidence,p_value_confidence,p_value_evidence,primary_endpoint_confidence,primary_endpoint_evidence,complete_response_letter_flag_confidence,complete_response_letter_flag_evidence,label_expansion_flag_confidence,label_expansion_flag_evidence,nct_id_confidence,nct_id_evidence,accelerated_approval_flag_confidence,accelerated_approval_flag_evidence,response_rate_confidence,response_rate_evidence,progression_free_survival_confidence,progression_free_survival_evidence,overall_survival_confidence,overall_survival_evidence,hazard_ratio_confidence,hazard_ratio_evidence,advisory_committee_vote_against_confidence,advisory_committee_vote_against_evidence,advisory_committee_vote_for_confidence,advisory_committee_vote_for_evidence,company_pipeline_concentration_notes_confidence,company_pipeline_concentration_notes_evidence,affected_pipeline_asset_count_confidence,affected_pipeline_asset_count_evidence
ABBV_8-K_2020-10-02_0001104659-20-111687,ABBV,2020-10-02T20:05:20,ABBV_8-K_2020-10-02_0001104659-20-111687_tm2031835d3_8k;ABBV_8-K_2020-10-02_0001104659-20-111687_tm2031835d3_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920111687/tm2031835d3_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-10-19_0001104659-20-115857,ABBV,2020-10-19T13:13:57,ABBV_8-K_2020-10-19_0001104659-20-115857_tm2031835d6_8k;ABBV_8-K_2020-10-19_0001104659-20-115857_tm2031835d6_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920115857/tm2031835d6_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-11-18_0001104659-20-126925,ABBV,2020-11-18T22:16:24,ABBV_8-K_2020-11-18_0001104659-20-126925_tm2036246-1_8k;ABBV_8-K_2020-11-18_0001104659-20-126925_tm2036246d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920126925/tm2036246-1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2021-01-12_0001104659-21-003462,ABBV,2021-01-12T21:30:55,ABBV_8-K_2021-01-12_0001104659-21-003462_tm212802d1_8k;ABBV_8-K_2021-01-12_0001104659-21-003462_tm212802d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465921003462/tm212802d1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2021-04-20_0001104659-21-052229,ABBV,2021-04-20T12:30:39,ABBV_8-K_2021-04-20_0001104659-21-052229_tm2113328d1_8k;ABBV_8-K_2021-04-20_0001104659-21-052229_tm2113328d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465921052229/tm2113328d1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2021-08-19_0001104659-21-107639,ABBV,2021-08-19T17:05:59,ABBV_8-K_2021-08-19_0001104659-21-107639_tm2125525d1_8k,1,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465921107639/tm2125525d1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result,0.75,"The court decision, which is subject to appeal, prohibits regulatory approval of that product",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2023-01-10_0001104659-23-002452,ABBV,2023-01-10T13:15:36,ABBV_8-K_2023-01-10_0001104659-23-002452_tm232769d1_8k;ABBV_8-K_2023-01-10_0001104659-23-002452_tm232769d1_ex99-1,4,sec_exhibit,https://www.sec.gov/Archives/edgar/data/1551152/000110465923002452/tm232769d1_ex99-1.htm,,unknown,,Strategy,blood cancer,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result,0.75,,0.45,,,0.78,"Significant growth potential for Skyrizi and Rinvoq Large, established position in blood cancer",0.76,"Morgan Healthcare Conference | January 10, 2023 5 Not for promotional use Immunology Outstanding Execution of Strategy to Transform AbbVie Immunology From a Single Product to a Portfolio Of Differentiated Therapies RHEUM DERM GASTRO RA PsA AS / nr - axSpA SLE GCA PsO AD HS Vitiligo Alopecia CD UC Ph3 Ph3 Ready* Ph3 Ph3 Ready* Ph2 Ph3 Ready* Currently Approved Under Regulatory Review *Expect to begin Ph3 studies in 2023 Early - Stage Immunology Programs • ABBV - 154: Ph2 ongoing in PMR and CD • Lutikizumab Ph2 ongoing in HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2023-11-30_0001104659-23-122241,ABBV,2023-11-30T13:47:57,ABBV_8-K_2023-11-30_0001104659-23-122241_tm2331814d1_8k;ABBV_8-K_2023-11-30_0001104659-23-122241_tm2331814d1_ex99-1;ABBV_8-K_2023-11-30_0001104659-23-122241_tm2331814d1_ex99-2,11,sec_exhibit,https://www.sec.gov/Archives/edgar/data/1551152/000110465923122241/tm2331814d1_ex99-1.htm,,unknown,,ImmunoGen,oncology Ongoing development program to support label expansion into additional treatment settings in ovarian cancer,phase_3,,,,,,,,,,True,"SAEs: Serious adverse events 6 November 30, 2023 Ovarian Cancer Represents a Large and Underserved Market Majority of ovarian cancer patients express FR a ~35% high ~30% medium Ovarian cancer is the leading cause of death from gynecological cancers 5 - Year Survival Rate of ~50% ~85,000 ovarian cancer drug - treated new patient starts annually in US and EU5 ~42,000 new patient starts are 2L+ (~45% PROC / ~55% PSOC) ~$3B global market today Forecast to grow 2x in 5 years and 4x in 10 years Source",,,,,,,,,,,False,False,False,False,True,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,boilerplate_or_risk_factor_not_event;pipeline_table_requires_new_result;publication_or_conference_notice_not_topline;safety_issue_present,0.75,necessary regulatory approvals and failure to obtain the requisite vote by ImmunoGen stockholders) in the anticipated timeframe or at,0.45,0.92,The positive Phase 3 results from the MIRASOL confirmatory trial will support a Marketing Authorization Application (MAA) to the European Union and a supplemental Biologic License Application (sBLA) submission to the U,0.78,"launch, representing one of the most successful new product launches in oncology Ongoing development program to support label expansion into additional treatment settings in ovarian cancer, including 2L+ platinum - sensitive, 1L maintenance, and FR a medium expressors TEAEs: Treatment emergent adverse events",0.76,"This transaction is expected to close in the middle of 2024, subject to ImmunoGen shareholder approval, regulatory approvals, and other customary closing conditions",,,0.82,"SAEs: Serious adverse events 6 November 30, 2023 Ovarian Cancer Represents a Large and Underserved Market Majority of ovarian cancer patients express FR a ~35% high ~30% medium Ovarian cancer is the leading cause of death from gynecological cancers 5 - Year Survival Rate of ~50% ~85,000 ovarian cancer drug - treated new patient starts annually in US and EU5 ~42,000 new patient starts are 2L+ (~45% PROC / ~55% PSOC) ~$3B global market today Forecast to grow 2x in 5 years and 4x in 10 years Sources: Clarivate DRG, Evaluate Pharma, SEER database, Company estimates PROC: Platinum - resistant ovarian cancer",0.82,"SAEs: Serious adverse events 6 November 30, 2023 Ovarian Cancer Represents a Large and Underserved Market Majority of ovarian cancer patients express FR a ~35% high ~30% medium Ovarian cancer is the leading cause of death from gynecological cancers 5 - Year Survival Rate of ~50% ~85,000 ovarian cancer drug - treated new patient starts annually in US and EU5 ~42,000 new patient starts are 2L+ (~45% PROC / ~55% PSOC) ~$3B global market today Forecast to grow 2x in 5 years and 4x in 10 years Sources: Clarivate DRG, Evaluate Pharma, SEER database, Company estimates PROC: Platinum - resistant ovarian cancer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2023-12-06_0001104659-23-124047,ABBV,2023-12-06T22:28:36,ABBV_8-K_2023-12-06_0001104659-23-124047_tm2332303d1_8k;ABBV_8-K_2023-12-06_0001104659-23-124047_tm2332303d1_ex99-1;ABBV_8-K_2023-12-06_0001104659-23-124047_tm2332303d1_ex99-2,7,sec_exhibit,https://www.sec.gov/Archives/edgar/data/1551152/000110465923124047/tm2332303d1_ex99-1.htm,,unknown,,Acquire,dementia-related psychosis in Alzheimer’s disease,phase_2,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,boilerplate_or_risk_factor_not_event;pipeline_table_requires_new_result;publication_or_conference_notice_not_topline,0.75,necessary regulatory approvals and failure to obtain the requisite vote by Cerevel stockholders) in the anticipated timeframe or at,0.45,0.9,"In a Phase 1b study, emraclidine has shown promising efficacy and safety in schizophrenia and is currently completing two Phase 2 trials that were designed to be registration enabling",0.78,"In addition, emraclidine has potential in dementia-related psychosis in Alzheimer’s disease and PD",0.76,"EX-99.1 2 tm2332303d1_ex99-1.htm EXHIBIT 99.1 Exhibit 99.1 PRESS RELEASE AbbVie to Acquire Cerevel Therapeutics in Transformative Transaction to Strengthen Neuroscience Pipeline · Proposed acquisition adds robust pipeline of assets focused on best-in-class potential for psychiatric and neurological disorders where significant unmet needs remain · Cerevel’s clinical-stage pipeline complements AbbVie’s current on-market portfolio and emerging neuroscience pipeline · Emraclidine has the potential to transform the standard of care in schizophrenia and other psychiatric conditions · Transaction valued at $45.00 per share in cash, for a total equity value of approximately $8.7 billion · AbbVie to hold an investor conference call tomorrow, December 7, at 8:00 a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2024-02-12_0001104659-24-013692,ABBV,2024-02-12T12:49:24,ABBV_8-K_2024-02-12_0001104659-24-013692_tm245657d1_8k;ABBV_8-K_2024-02-12_0001104659-24-013692_tm245657d1_99-1,11,sec_exhibit,https://www.sec.gov/Archives/edgar/data/1551152/000110465924013692/tm245657d1_99-1.htm,FDA-approved test,fda_approval,fda_approval,ImmunoGen,ovarian cancer,phase_1,,,,,,,,,,True,The prescribing information includes a boxed warning,approval,approved,,,,,,,,,True,False,True,False,True,True,False,False,True,positive,medium,machine_candidate,source_backed,boilerplate_or_risk_factor_not_event;pipeline_table_requires_new_result;requires_pipeline_concentration_review;safety_issue_present,0.75,,0.68,0.86,"ImmunoGen's investigational Phase 1 asset, IMGN-151, is a next-generation FRα ADC for ovarian cancer with the potential for expansion into other solid tumor indications",0.78,Food and Drug Administration (FDA) in ovarian cancer,0.76,"“The addition of ImmunoGen’s treatment for ovarian cancer will accelerate our ability to help patients today, expand our oncology pipeline and drive long-term revenue growth well into the next decade",,,0.82,The prescribing information includes a boxed warning,0.82,The prescribing information includes a boxed warning,0.94,FDA-approved test,0.94,FDA-approved test,0.94,FDA-approved test,0.94,FDA-approved test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
