event_id,ticker,recipient_name,contract_number,award_date,event_time,source_type,source_url,award_amount,obligated_amount,award_amount_pct_market_cap,obligated_amount_pct_market_cap,company_size_bucket,small_cap_flag,public_announcement_priority_score,public_announcement_priority_reason,public_announcement_link_status
government_contract_SAIC_FA807523F0035,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,FA807523F0035,2023-08-22,2023-08-22T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA807523F0035_9700_FA807518D0007_9700,45118715.31,45118715.31,0.0075387199674599,0.0075387199674599,mid_cap,False,14.753871996745989,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_N6600122F3509,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,N6600122F3509,2022-07-13,2022-07-13T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6600122F3509_9700_N0017819D8470_9700,35952885.04,35952885.04,0.007487853980031,0.007487853980031,mid_cap,False,14.7487853980031,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_HII_N0002423C2324,HII,HUNTINGTON INGALLS INCORPORATED,N0002423C2324,2023-01-06,2023-01-06T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002423C2324_9700_-NONE-_-NONE-,320848389.0,320848389.0,0.0374858207123057,0.0374858207123057,mid_cap,False,14.748582071230569,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_AVAV_W58RGZ22C0021,AVAV,"AEROVIRONMENT, INC.",W58RGZ22C0021,2022-01-21,2022-01-21T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W58RGZ22C0021_9700_-NONE-_-NONE-,10450478.08,10450478.08,0.0073489052609731,0.0073489052609731,small_cap,True,14.73489052609731,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_AVAV_W58RGZ23C0039,AVAV,"AEROVIRONMENT, INC",W58RGZ23C0039,2023-07-21,2023-07-21T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W58RGZ23C0039_9700_-NONE-_-NONE-,18415152.93,18415152.93,0.0072817964501168,0.0072817964501168,mid_cap,False,14.72817964501168,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_693KA924F00050,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,693KA924F00050,2024-01-12,2024-01-12T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_693KA924F00050_6920_693KA918D00010_6920,47303034.3,47303034.3,0.0072741755521104,0.0072741755521104,mid_cap,False,14.72741755521104,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_FA873022F0038,CACI,CACI INTERNATIONAL INC,FA873022F0038,2022-04-01,2022-04-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA873022F0038_9700_FA873020D0015_9700,51608972.36,51608972.36,0.0072432323620818,0.0072432323620818,mid_cap,False,14.72432323620818,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_70B02C21F00001280,CACI,"CACI, INC. - FEDERAL",70B02C21F00001280,2021-09-27,2021-09-27T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_70B02C21F00001280_7014_47QTCK18D0009_4732,43022966.56,43022966.56,0.0070799805123554,0.0070799805123554,mid_cap,False,14.70799805123554,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_N0016421F3020,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,N0016421F3020,2021-05-26,2021-05-26T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0016421F3020_9700_N0017819D8470_9700,33455744.01,33455744.01,0.0069360308794761,0.0069360308794761,mid_cap,False,14.69360308794761,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_N6426723F3001,CACI,"CACI, INC. - FEDERAL",N6426723F3001,2023-02-23,2023-02-23T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6426723F3001_9700_N0017819D7295_9700,47603829.01,47603829.01,0.0068158707357005,0.0068158707357005,mid_cap,False,14.68158707357005,high_materiality_or_priority_ticker,needs_public_announcement_link
