event_id,audit_bucket,source_doc_ids,source_type,source_url,event_time,release_session,recipient_name,parsed_ticker,reviewed_mapped_ticker,parsed_mapping_type,reviewed_mapping_type,parsed_recipient_mapping_confidence,reviewed_recipient_mapping_confidence,recipient_mapping_correct_flag,mapping_model_eligible_flag,parsed_government_contract_event_type,reviewed_government_contract_event_type,event_type_correct_flag,parsed_award_amount,reviewed_award_amount,parsed_obligated_amount,reviewed_obligated_amount,parsed_contract_ceiling,reviewed_contract_ceiling,amount_correct_flag,parsed_actual_funded_award_flag,reviewed_actual_funded_award_flag,parsed_ceiling_only_flag,reviewed_ceiling_only_flag,parsed_modification_flag,reviewed_modification_flag,parsed_option_exercise_flag,reviewed_option_exercise_flag,funded_vs_ceiling_correct_flag,timestamp_suitable_flag,public_awareness_evidence_status,model_eligible_after_audit,review_status,drop_reason,audit_notes
government_contract_GD_47QFCA21F0051,modifications_options,usaspending_CONT_AWD_47QFCA21F0051_4732_GS00Q14OADU317_4732,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA21F0051_4732_GS00Q14OADU317_4732,2021-07-01T12:00:00,unknown,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",GD,GD,exact_public_company,exact_public_company,0.95,0.95,True,True,contract_modification,contract_modification,True,837851537.24,837851537.24,837851537.24,837851537.24,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BA_H9224122F0002,modifications_options,usaspending_CONT_AWD_H9224122F0002_9700_W9121516G0001_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_H9224122F0002_9700_W9121516G0001_9700,2022-02-14T12:00:00,unknown,THE BOEING COMPANY,BA,BA,exact_public_company,exact_public_company,0.94,0.94,True,True,contract_extension,contract_extension,True,780361826.0,780361826.0,780361826.0,780361826.0,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_RTX_N0002422C5400,modifications_options,usaspending_CONT_AWD_N0002422C5400_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002422C5400_9700_-NONE-_-NONE-,2022-04-29T12:00:00,unknown,RAYTHEON COMPANY,RTX,RTX,known_subsidiary,known_subsidiary,0.92,0.92,True,True,contract_modification,contract_modification,True,638114558.95,638114558.95,638114558.95,638114558.95,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_SAIC_70B04C20F00001359,modifications_options,usaspending_CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732,2021-09-15T12:00:00,unknown,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SAIC,SAIC,exact_public_company,exact_public_company,0.94,0.94,True,True,contract_modification,contract_modification,True,596474053.88,596474053.88,596474053.88,596474053.88,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_SAIC_N0002422C6419,modifications_options,usaspending_CONT_AWD_N0002422C6419_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002422C6419_9700_-NONE-_-NONE-,2021-11-23T12:00:00,unknown,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SAIC,SAIC,exact_public_company,exact_public_company,0.94,0.94,True,True,contract_modification,contract_modification,True,509638059.8,509638059.8,509638059.8,509638059.8,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_N0002423C5325,modifications_options,usaspending_CONT_AWD_N0002423C5325_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002423C5325_9700_-NONE-_-NONE-,2023-05-23T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,contract_modification,contract_modification,True,441756474.53,441756474.53,441756474.53,441756474.53,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_RTX_HQ086221F0008,modifications_options,usaspending_CONT_AWD_HQ086221F0008_9700_HQ014718D0001_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_HQ086221F0008_9700_HQ014718D0001_9700,2021-08-30T12:00:00,unknown,RAYTHEON COMPANY,RTX,RTX,known_subsidiary,known_subsidiary,0.92,0.92,True,True,contract_extension,contract_extension,True,431346320.97,431346320.97,431346320.97,431346320.97,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LDOS_80TECH21DA002,idiq_ceiling,usaspending_CONT_IDV_80TECH21DA002_8000,usaspending_api,https://www.usaspending.gov/award/CONT_IDV_80TECH21DA002_8000,2022-05-01T12:00:00,unknown,"LEIDOS, INC.",LDOS,LDOS,exact_public_company,exact_public_company,0.94,0.94,True,True,idiq_vehicle_award,idiq_vehicle_award,True,906564739.47,906564739.47,,,906564739.47,906564739.47,True,False,False,True,True,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BAH_80TECH22DA002,idiq_ceiling,usaspending_CONT_IDV_80TECH22DA002_8000,usaspending_api,https://www.usaspending.gov/award/CONT_IDV_80TECH22DA002_8000,2022-05-31T12:00:00,unknown,BOOZ ALLEN HAMILTON INC,BAH,BAH,exact_public_company,exact_public_company,0.95,0.95,True,True,idiq_vehicle_award,idiq_vehicle_award,True,237889498.62,237889498.62,,,237889498.62,237889498.62,True,False,False,True,True,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_CACI_80JSC023DA010,idiq_ceiling,usaspending_CONT_IDV_80JSC023DA010_8000,usaspending_api,https://www.usaspending.gov/award/CONT_IDV_80JSC023DA010_8000,2023-03-01T12:00:00,unknown,"CACI, INC. - FEDERAL",CACI,CACI,exact_public_company,exact_public_company,0.94,0.94,True,True,idiq_vehicle_award,idiq_vehicle_award,True,127385569.04,127385569.04,,,127385569.04,127385569.04,True,False,False,True,True,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_SAIC_80JSC024DA019,idiq_ceiling,usaspending_CONT_IDV_80JSC024DA019_8000,usaspending_api,https://www.usaspending.gov/award/CONT_IDV_80JSC024DA019_8000,2024-06-01T12:00:00,unknown,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SAIC,SAIC,exact_public_company,exact_public_company,0.94,0.94,True,True,idiq_vehicle_award,idiq_vehicle_award,True,123086251.0,123086251.0,,,123086251.0,123086251.0,True,False,False,True,True,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
