event_id,ticker,recipient_name,award_id,contract_number,award_date,announcement_time,announcement_source_type,announcement_source_url,announcement_title,announcement_text_excerpt,source_confidence,link_confidence,link_notes,announcement_source_type_normalized,public_announcement_time,public_announcement_release_session,public_awareness_event_key,duplicate_group_id,duplicate_status,valid_public_announcement_link_flag,model_eligible_public_announcement_flag,validation_status,validation_notes,event_time,source_type,source_url,award_amount,obligated_amount,award_amount_pct_market_cap,obligated_amount_pct_market_cap,company_size_bucket,small_cap_flag,public_announcement_priority_score,public_announcement_priority_reason,public_announcement_link_status
government_contract_CACI_47QFCA21F0087,CACI,"CACI NSS, LLC",,47QFCA21F0087,2021-09-30,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-09-30T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA21F0087_4732_GS00Q14OADU121_4732,758932648.33,758932648.33,0.1227668830147778,0.1227668830147778,mid_cap,False,26.27668830147778,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_140D0422C0009,CACI,ACACIA CENTER FOR JUSTICE,,140D0422C0009,2022-03-30,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2022-03-30T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_140D0422C0009_1406_-NONE-_-NONE-,832386515.82,832386515.82,0.1168317289592372,0.1168317289592372,mid_cap,False,25.683172895923718,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_N0002422C6419,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,N0002422C6419,2021-11-23,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-11-23T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002422C6419_9700_-NONE-_-NONE-,509638059.8,509638059.8,0.1058896358602069,0.1058896358602069,mid_cap,False,24.58896358602069,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_HII_N0002424C2106,HII,HUNTINGTON INGALLS INC,,N0002424C2106,2023-12-01,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2023-12-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002424C2106_9700_-NONE-_-NONE-,1214509016.0,1214509016.0,0.1342778656743641,0.1342778656743641,mid_cap,False,24.427786567436407,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_HII_N0002424C2473,HII,HUNTINGTON INGALLS INCORPORATED,,N0002424C2473,2024-09-20,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2024-09-20T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002424C2473_9700_-NONE-_-NONE-,1747000000.0,1747000000.0,0.1721298729888775,0.1721298729888775,large_cap,False,24.21298729888775,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_47QFCA25F0009,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,47QFCA25F0009,2025-03-13,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2025-03-13T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA25F0009_4732_47QFCA22D0337_4732,508646094.01,508646094.01,0.101558712072003,0.101558712072003,mid_cap,False,24.1558712072003,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_W31P4Q21F0033,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,W31P4Q21F0033,2021-01-06,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-01-06T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q21F0033_9700_GS00Q14OADU516_4732,510678182.57,510678182.57,0.0998881171469265,0.0998881171469265,mid_cap,False,23.988811714692652,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_HS002123F0020,CACI,"CACI, INC. - FEDERAL",,HS002123F0020,2023-03-01,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2023-03-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_HS002123F0020_9700_HS002123D0002_9700,652382166.3,652382166.3,0.0944116323679356,0.0944116323679356,mid_cap,False,23.44116323679356,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_36C10B21N10070021,BAH,BOOZ ALLEN HAMILTON INC,,36C10B21N10070021,2021-05-17,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-05-17T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_36C10B21N10070021_3600_VA11816D1007_3600,1365285599.63,1365285599.63,0.1306034609922546,0.1306034609922546,large_cap,False,23.06034609922546,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_47QFRA24F0005,CACI,"CACI, INC. - FEDERAL",,47QFRA24F0005,2024-05-01,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2024-05-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFRA24F0005_4732_47QTCK18D0009_4732,767605594.4,767605594.4,0.084442768795354,0.084442768795354,mid_cap,False,22.4442768795354,high_materiality_or_priority_ticker,needs_public_announcement_link
