recipient_name,source_rows,mapped_ticker,public_company_name,subsidiary_name,mapping_type,confidence,model_eligible_mapping_flag,source_types,sample_source_url,review_notes
"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",8,BKSY,BlackSky Technology Inc.,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA945322CA020_9700_-NONE-_-NONE-,
"CACI TECHNOLOGIES, LLC",8,CACI,CACI International Inc,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W56KGU21F0013_9700_W15P7T19D0157_9700,
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",8,GD,General Dynamics Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_70Z04421F21002700_7008_70Z04421D21000600_7008,
LEIDOS BIOMEDICAL RESEARCH INC,8,LDOS,"Leidos Holdings, Inc.",,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_75N91021F00001_7529_75N91019D00024_7529,
LOCKHEED MARTIN CORP,8,LMT,Lockheed Martin Corporation,,exact_public_company,0.96,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA862521F3012_9700_FA862520D3000_9700,
MERCURY SYSTEMS INC,8,MRCY,"Mercury Systems, Inc.",,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_SPRRA222C0004_9700_-NONE-_-NONE-,
"GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS, INC.",7,GD,General Dynamics Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W52P1J22C0023_9700_-NONE-_-NONE-,
"GENERAL DYNAMICS OTS (WILKES BARRE), LLC",7,GD,General Dynamics Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W15QKN21F0097_9700_W15QKN19D0084_9700,
"MERCURY DEFENSE SYSTEMS, INC.",7,MRCY,"Mercury Systems, Inc.","Mercury Defense Systems, Inc.",known_subsidiary,0.88,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6833521F0130_9700_N6833517G0017_9700,
PLANET LABS INC.,7,PL,Planet Labs PBC,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_80HQTR21F0178_8000_80HQTR18A0026_8000,
"REDWIRE SPACE TECHNOLOGIES, INC.",7,RDW,Redwire Corporation,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_80JSC021F0084_8000_NNJ15GU31B_8000,
"FLORIDA TURBINE TECHNOLOGIES, INC.",6,KTOS,"Kratos Defense & Security Solutions, Inc.","Florida Turbine Technologies, Inc.",known_subsidiary,0.84,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA865021F2006_9700_FA865019D2056_9700,
MERCURY MISSION SYSTEMS LLC,6,MRCY,"Mercury Systems, Inc.","Mercury Mission Systems, LLC",known_subsidiary,0.82,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W91CRB21C5012_9700_-NONE-_-NONE-,
METRO MACHINE CORP.,6,GD,General Dynamics Corporation,Metro Machine Corp. / General Dynamics NASSCO-Norfolk,known_subsidiary,0.86,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002422C4490_9700_-NONE-_-NONE-,
"PLANET LABS FEDERAL, INC.",6,PL,Planet Labs PBC,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6600124P6048_9700_-NONE-_-NONE-,
ACACIA CENTER FOR JUSTICE,5,CACI,CACI International Inc,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_140D0422C0009_1406_-NONE-_-NONE-,
